term,spike_month,spike_rank,median_rank,improve_ratio,is_category
elf on the shelf,2025-11,57,25854.0,0.998,False
jansport backpack,2025-08,57,2434.5,0.977,False
twister,2025-03,58,1721.5,0.966,False
ice maker,2025-07,58,230.5,0.748,False
hydrogen tablets for drinking water,2025-06,58,963.5,0.94,False
gift cards,2025-12,58,351.5,0.835,False
pheromones perfumes for women,2025-06,59,127.0,0.535,False
gladiator,2025-01,59,3145.5,0.981,False
superman,2025-08,59,2633.0,0.978,False
the pitt,2025-04,59,1015.0,0.942,False
the white lotus,2025-02,59,3324.5,0.982,False
stocking stuffers,2025-10,59,14197.0,0.996,False
stocking stuffers for women,2025-12,59,34224.0,0.998,False
apple watch bands,2025-09,59,1682.0,0.965,False
liquid iv,2025-07,59,121.0,0.512,False
you're cordially invited,2025-02,60,10896.0,0.994,False
kindle paperwhite,2025-07,60,219.0,0.726,False
corset,2025-10,60,2760.5,0.978,False
cat deterrent spray,2025-01,60,262.0,0.771,False
i,2025-03,60,2254.0,0.973,False
bmf,2025-08,60,7492.0,0.992,False
beach vacation clothes for women,2025-02,61,885.5,0.931,False
hydrojug,2025-07,61,213.5,0.714,False
nmnh,2025-11,61,7038.5,0.991,False
dexter,2025-09,61,441.0,0.862,False
neck wrinkle patches,2025-05,61,311.0,0.804,False
dresser for bedroom,2025-03,61,184.5,0.669,False
toys,2025-11,62,483.5,0.872,False
women blouses,2025-07,62,19484.5,0.997,False
pool,2025-06,62,2992.0,0.979,False
elf on the shelf,2025-12,62,25854.0,0.998,False
black corset,2025-10,62,17522.5,0.996,False
gladiator ii,2025-02,62,1815.0,0.966,False
dexter,2025-02,63,441.0,0.857,False
maxtonhall,2025-11,63,14168.0,0.996,False
tankinis,2025-05,63,3471.0,0.982,False
christmas tree,2025-10,64,2944.5,0.978,False
lego sets,2025-11,64,428.0,0.85,False
digital picture frame,2025-12,64,1371.0,0.953,False
pheromone cologne for men,2025-02,64,131.0,0.511,False
the substance,2025-03,65,2640.0,0.975,False
dresser for bedroom,2025-02,65,184.5,0.648,False
hydrogen tablets for drinking water,2025-04,65,963.5,0.933,False
gifts for mom,2025-12,65,6741.0,0.99,False
kinesiology tape for shoulder,2025-09,65,149.5,0.565,False
countdown,2025-07,65,13326.5,0.995,False
we were liars series,2025-06,65,537.0,0.879,False
tattoo cover up,2025-05,66,187.5,0.648,False
candy,2025-10,66,204.5,0.677,False
tablet,2025-11,66,194.0,0.66,False
jansport backpack,2025-07,66,2434.5,0.973,False
ipad 10th generation case,2025-02,66,868.5,0.924,False
stem cell serum for face,2025-09,66,187.5,0.648,False
switch 2,2025-07,67,289.0,0.768,False
wedding guest dress,2025-04,67,240.5,0.721,False
outdoor christmas decorations,2025-11,67,19097.0,0.996,False
blink twice,2025-01,67,3346.5,0.98,False
tattoo cover up,2025-12,67,187.5,0.643,False
airpods pro 3,2025-10,67,114992.0,0.999,False
patio deals,2025-05,68,137.5,0.505,False
advent calendar 2025,2025-10,68,218.0,0.688,False
lioness,2025-01,68,1849.5,0.963,False
boho tops for women,2025-07,68,3054.5,0.978,False
sinners,2025-04,68,970.0,0.93,False
sol de janeiro,2025-11,68,216.5,0.686,False
fall decor,2025-08,68,3181.0,0.979,False
mufasa: the lion king,2025-02,69,27081.5,0.997,False
red one,2025-01,69,2269.5,0.97,False
a minecraft movie with jack black,2025-05,69,6411.0,0.989,False
sonic the hedgehog 3,2025-04,69,179.5,0.616,False
switch 2,2025-06,69,289.0,0.761,False
3d printer,2025-11,70,370.0,0.811,False
slippers for women,2025-12,70,561.0,0.875,False
stem cell serum for face,2025-08,70,187.5,0.627,False
magnetic eyelashes with applicator,2025-05,70,272.0,0.743,False
christmas movies free to me prime video,2025-12,71,20589.0,0.997,False
heating pad,2025-01,71,166.0,0.572,False
nad,2025-07,71,401.0,0.823,False
airpods 4,2025-11,71,844.0,0.916,False
the gorge,2025-03,71,1662.0,0.957,False
airpods pro 3,2025-09,71,114992.0,0.999,False
invincible,2025-06,72,175.5,0.59,False
humidifier,2025-01,72,806.0,0.911,False
portable air conditioners,2025-07,72,1720.0,0.958,False
christmas tree skirt,2025-11,72,25176.0,0.997,False
raising kansan,2025-05,72,25216.0,0.997,False
magnetic eyelashes with applicator,2025-04,72,272.0,0.735,False
rumi costume kids,2025-10,73,4679.0,0.984,False
let them book mel robbins,2025-01,73,1346.0,0.946,False
christmas wrapping paper,2025-12,73,28927.0,0.997,False
hand warmers,2025-11,73,1914.0,0.962,False
cooling blanket,2025-06,73,1776.0,0.959,False
magnesium lotion for kids,2025-05,73,860.5,0.915,False
hazbin hotel,2025-10,74,1014.5,0.927,False
twister,2025-04,74,1721.5,0.957,False
neck wrinkle patches,2025-02,74,311.0,0.762,False
weighted vest woman,2025-07,74,319.0,0.768,False
legos,2025-12,74,789.0,0.906,False
ingrown toenail treatment,2025-01,74,204.0,0.637,False
