term,spike_month,spike_rank,median_rank,improve_ratio,is_category
green earrings for women,2025-03,49580,117878.0,0.579,True
rose gold necklaces for women,2025-04,49656,140737.0,0.647,True
snake necklace,2025-10,49776,132995.5,0.626,True
rose gold necklaces for women,2025-02,49917,140737.0,0.645,True
nike hoops elite backpack,2025-07,49974,139695.0,0.642,True
hello kitty jewelry,2025-12,50000,147378.0,0.661,True
stick on earrings,2025-12,50234,106298.0,0.527,True
earring backs for studs,2025-01,50451,102147.0,0.506,True
heart ring,2025-01,50519,109110.5,0.537,True
bow nail charms,2025-01,50684,112229.5,0.548,True
gold earrings hoops,2025-10,50730,118803.5,0.573,True
vintage jewelry box,2025-11,50772,106521.5,0.523,True
gold plated necklace,2025-08,50898,102038.0,0.501,True
pandora charm bracelet,2025-12,51007,126750.0,0.598,True
necklace for boys,2025-12,51304,157544.0,0.674,True
pocket watch with chain,2025-10,51596,124478.0,0.586,True
snake earrings,2025-10,51728,114320.0,0.548,True
lab grown diamond earrings,2025-12,51781,121596.0,0.574,True
gold bow earrings,2025-12,51829,111333.0,0.534,True
dainty gold necklace,2025-09,52046,104203.0,0.501,True
gold chain for boys,2025-12,52061,138779.0,0.625,True
mustard seed necklace,2025-12,52083,133285.0,0.609,True
girls necklace,2025-12,52186,152271.0,0.657,True
jewelry case,2025-12,52277,118005.5,0.557,True
necklace with picture inside,2025-12,52361,127958.0,0.591,True
gothic earrings,2025-10,52506,132332.0,0.603,True
coach bracelet,2025-12,52963,164251.5,0.678,True
pearl jewelry set for women,2025-04,53109,110043.0,0.517,True
rose gold necklaces for women,2025-03,53182,140737.0,0.622,True
sterling silver cross necklace,2025-09,53338,126844.0,0.579,True
jewelry making kit for girls 4-6,2025-11,53705,150881.5,0.644,True
mini jewelry travel case,2025-11,53827,107681.5,0.5,True
earring box,2025-12,54010,130589.0,0.586,True
cat necklace,2025-12,54078,134971.0,0.599,True
floating navel piercing jewelry,2025-05,54246,108567.0,0.5,True
peace sign necklace,2025-10,54702,163812.0,0.666,True
lacoste bracelet for men,2025-12,55541,136884.0,0.594,True
